step,hp_metric,train_loss_fusion_step,train_loss_global_step,train_loss_local_step,train_loss_reg_step,gradient_norm_step,epoch,val_acc,val_f1,val_auc,val_loss,train_acc,train_f1,train_auc,train_loss_fusion_epoch,train_loss_global_epoch,train_loss_local_epoch,train_loss_reg_epoch,train_loss,gradient_norm_epoch
0,-1.0,,,,,,,,,,,,,,,,,,,
385,58.52177047729492,,,,,,0.0,0.582360565662384,0.4363301694393158,0.6055718064308167,58.52177047729492,0.5683954358100891,0.4298792779445648,0.597339928150177,21.871458053588867,19.82072639465332,18.316675186157227,18912.994140625,38.59670639038086,173.28701782226562
771,56.2858772277832,,,,,,1.0,0.5907911658287048,0.4659182131290436,0.632728099822998,56.2858772277832,0.5897082686424255,0.4740387201309204,0.6137783527374268,21.37240982055664,17.984846115112305,16.70876121520996,15345.6728515625,35.06627655029297,193.02830505371094
1157,54.97952651977539,,,,,,2.0,0.6037613749504089,0.4480150640010834,0.626837432384491,54.97952651977539,0.593517005443573,0.47121182084083557,0.6340052485466003,21.101652145385742,17.23065757751465,15.765690803527832,13089.578125,33.314212799072266,211.07244873046875
1543,54.10710906982422,,,,,,3.0,0.5959792733192444,0.42980608344078064,0.6363489031791687,54.10710906982422,0.609319269657135,0.4916260838508606,0.6387013792991638,20.95708656311035,16.90253257751465,15.274676322937012,11650.353515625,32.46014404296875,200.00823974609375
1929,54.5332145690918,,,,,,4.0,0.5901426672935486,0.40690723061561584,0.6588305234909058,54.5332145690918,0.6188006401062012,0.49290335178375244,0.6796353459358215,20.46158790588379,16.40708351135254,14.894485473632812,10489.677734375,31.556297302246094,202.505126953125
2315,53.121212005615234,,,,,,5.0,0.6134889721870422,0.4847443103790283,0.6409425139427185,53.121212005615234,0.6247163414955139,0.5157458782196045,0.6761588454246521,20.4074649810791,16.106487274169922,14.388957023620605,9624.28125,30.729175567626953,213.64102172851562
2701,53.68515396118164,,,,,,6.0,0.5894941687583923,0.4386522173881531,0.6207306385040283,53.68515396118164,0.6077795624732971,0.4802250862121582,0.6526944637298584,20.803943634033203,16.138145446777344,14.232519149780273,9125.2998046875,30.59226417541504,225.5941619873047
3087,53.08656692504883,,,,,,7.0,0.6199740767478943,0.5088807344436646,0.6564255952835083,53.08656692504883,0.6177471876144409,0.5050400495529175,0.6678342819213867,20.592866897583008,15.684720993041992,13.926446914672852,8611.3974609375,29.82029914855957,220.20689392089844
3473,54.56393814086914,,,,,,8.0,0.6057068705558777,0.49225640296936035,0.6619109511375427,54.56393814086914,0.6170178055763245,0.5133177638053894,0.6693435907363892,20.56040382385254,15.752195358276367,13.887121200561523,8033.72509765625,29.83442497253418,214.40924072265625
3859,54.456321716308594,,,,,,9.0,0.5583657622337341,0.40619051456451416,0.5744704008102417,54.456321716308594,0.6163695454597473,0.5084490180015564,0.6590255498886108,20.633636474609375,15.633844375610352,13.682806968688965,7727.5546875,29.50432014465332,227.36253356933594
4245,53.46011734008789,,,,,,10.0,0.5797665119171143,0.5004324913024902,0.6109489798545837,53.46011734008789,0.6042949557304382,0.4889163374900818,0.6575607657432556,20.701766967773438,15.338791847229004,12.944342613220215,7388.439453125,28.462553024291992,222.5918426513672
4631,52.86802673339844,,,,,,11.0,0.5622568130493164,0.4599092900753021,0.5707955360412598,52.86802673339844,0.6072933673858643,0.5303963422775269,0.6571454405784607,20.609468460083008,15.31926155090332,13.069507598876953,7015.70458984375,28.55914878845215,235.24688720703125
5017,52.68758010864258,,,,,,12.0,0.5881971716880798,0.4638673961162567,0.6190283298492432,52.68758010864258,0.6198541522026062,0.5380115509033203,0.6725749969482422,20.382856369018555,14.982751846313477,12.578779220581055,6725.2265625,27.724855422973633,235.1525115966797
5403,53.744056701660156,,,,,,13.0,0.5959792733192444,0.5144845843315125,0.620541512966156,53.744056701660156,0.6161264181137085,0.5300014615058899,0.6711527705192566,20.43645477294922,14.941506385803223,12.449214935302734,6518.62890625,27.549015045166016,233.95684814453125
5789,52.475467681884766,,,,,,14.0,0.5959792733192444,0.4834389388561249,0.6408073902130127,52.475467681884766,0.6278768181800842,0.5441698431968689,0.6761568188667297,20.31175994873047,14.911141395568848,12.286266326904297,6186.02392578125,27.3476505279541,249.34481811523438
6175,53.823848724365234,,,,,,15.0,0.6102464199066162,0.5100746750831604,0.6356193423271179,53.823848724365234,0.6331442594528198,0.548460841178894,0.6921879649162292,20.16269874572754,14.938779830932617,12.18209171295166,6090.103515625,27.268762588500977,265.66302490234375
6561,52.726993560791016,,,,,,16.0,0.6057068705558777,0.4839794635772705,0.6596141457557678,52.726993560791016,0.6342787742614746,0.5552011728286743,0.690636157989502,20.031646728515625,14.612061500549316,11.913467407226562,5828.2734375,26.66706085205078,277.1136474609375
6947,53.22283172607422,,,,,,17.0,0.6134889721870422,0.49477091431617737,0.6488597393035889,53.22283172607422,0.6333873867988586,0.5527547001838684,0.6916126608848572,20.01543617248535,14.634476661682129,11.926733016967773,5606.451171875,26.697351455688477,282.40020751953125
7333,54.00429153442383,,,,,,18.0,0.5933852195739746,0.5367904901504517,0.6232166290283203,54.00429153442383,0.623176634311676,0.5525626540184021,0.6846210956573486,20.15351104736328,14.423624992370605,11.289029121398926,5508.34765625,25.846433639526367,300.1813659667969
7719,53.37044906616211,,,,,,19.0,0.6147859692573547,0.4982914626598358,0.6539126634597778,53.37044906616211,0.6386547684669495,0.5637550950050354,0.7010798454284668,19.9189510345459,14.266204833984375,11.101154327392578,5278.796875,25.495548248291016,293.2625427246094
49,,23.486595153808594,22.053861618041992,17.9920654296875,20622.88671875,116.0960922241211,0.0,,,,,,,,,,,,,
99,,22.483951568603516,19.586231231689453,16.80431365966797,19919.962890625,109.85919952392578,0.0,,,,,,,,,,,,,
149,,22.873334884643555,21.0015811920166,18.108455657958984,19343.859375,180.71054077148438,0.0,,,,,,,,,,,,,
199,,22.69662857055664,21.458297729492188,17.654930114746094,18681.90234375,180.32826232910156,0.0,,,,,,,,,,,,,
249,,20.030635833740234,16.832910537719727,15.21011734008789,18170.462890625,95.6058578491211,0.0,,,,,,,,,,,,,
