step,hp_metric,train_loss_fusion_step,train_loss_global_step,train_loss_local_step,train_loss_reg_step,gradient_norm_step,epoch,val_acc,val_f1,val_auc,val_loss,train_acc,train_f1,train_auc,train_loss_fusion_epoch,train_loss_global_epoch,train_loss_local_epoch,train_loss_reg_epoch,train_loss,gradient_norm_epoch
0,-1.0,,,,,,,,,,,,,,,,,,,
385,69.62522888183594,,,,,,0.0,0.4876783490180969,0.6535676717758179,0.5071065425872803,69.62522888183594,0.4875202476978302,0.6541821360588074,0.4930206537246704,26.989381790161133,22.45823860168457,21.23415756225586,18881.267578125,44.150917053222656,61.4731559753418
771,68.43994903564453,,,,,,1.0,0.48249027132987976,0.6494210958480835,0.514024019241333,68.43994903564453,0.48687195777893066,0.6538980603218079,0.4988715648651123,26.880657196044922,21.696796417236328,20.93161392211914,16544.45703125,43.03020477294922,53.94572067260742
1157,67.81816101074219,,,,,,2.0,0.4811932444572449,0.6484402418136597,0.5095654726028442,67.81816101074219,0.487763375043869,0.6546302437782288,0.4976661503314972,26.899702072143555,21.39727020263672,20.514511108398438,15276.2998046875,42.28276824951172,56.132076263427734
1543,67.33941650390625,,,,,,3.0,0.4818417727947235,0.6490272879600525,0.5085116624832153,67.33941650390625,0.487763375043869,0.6548459529876709,0.4970056712627411,26.922136306762695,21.14431381225586,20.08281898498535,14407.033203125,41.57700729370117,52.93647766113281
1929,67.29522705078125,,,,,,4.0,0.48378729820251465,0.6512047052383423,0.5023508667945862,67.29522705078125,0.486142635345459,0.6531668901443481,0.49676254391670227,26.925334930419922,20.953048706054688,19.844938278198242,13757.31640625,41.132102966308594,52.702850341796875
2315,66.67601776123047,,,,,,5.0,0.4857328236103058,0.6532908082008362,0.5003242492675781,66.67601776123047,0.4887358248233795,0.6553577780723572,0.4952329695224762,26.9929141998291,20.76860237121582,19.54708480834961,13215.5341796875,40.636619567871094,53.1412467956543
2701,66.44985961914062,,,,,,6.0,0.483138769865036,0.6508783102035522,0.49700063467025757,66.44985961914062,0.4894651472568512,0.6560441255569458,0.4914262592792511,27.017051696777344,20.591323852539062,19.390600204467773,12704.94921875,40.29046630859375,53.0629997253418
3087,66.09364318847656,,,,,,7.0,0.4805447459220886,0.6484450101852417,0.4957846999168396,66.09364318847656,0.4890599548816681,0.6556046009063721,0.48653969168663025,27.095365524291992,20.400537490844727,19.268604278564453,12239.5283203125,39.96638107299805,53.33757781982422
3473,66.20759582519531,,,,,,8.0,0.48378729820251465,0.6511470675468445,0.4944876730442047,66.20759582519531,0.4902755320072174,0.6563675403594971,0.48661670088768005,27.08681869506836,20.271299362182617,19.203861236572266,11687.0849609375,39.75899124145508,51.069854736328125
3859,65.77611541748047,,,,,,9.0,0.48378729820251465,0.6502320170402527,0.4940012991428375,65.77611541748047,0.4875202476978302,0.6544659733772278,0.4844307005405426,27.08799171447754,20.1165828704834,19.144411087036133,11303.6640625,39.535518646240234,53.438987731933594
4245,65.48899841308594,,,,,,10.0,0.483138769865036,0.649655282497406,0.4920557737350464,65.48899841308594,0.4883306324481964,0.6552141904830933,0.48255062103271484,27.14556884765625,19.991779327392578,19.194169998168945,10865.3955078125,39.4498291015625,53.79629898071289
4631,65.31460571289062,,,,,,11.0,0.4870298206806183,0.6529187560081482,0.4941634237766266,65.31460571289062,0.48841166496276855,0.6547005772590637,0.48444893956184387,27.13393783569336,19.877906799316406,19.05532455444336,10422.6552734375,39.18634033203125,50.293907165527344
5017,65.17172241210938,,,,,,12.0,0.4857328236103058,0.6520429849624634,0.4918936491012573,65.17172241210938,0.48727715015411377,0.6541035175323486,0.4831584095954895,27.113056182861328,19.786178588867188,18.98577117919922,10050.0498046875,39.01601028442383,52.06687545776367
5403,64.84834289550781,,,,,,13.0,0.48638132214546204,0.6523582339286804,0.48954281210899353,64.84834289550781,0.487763375043869,0.6543852090835571,0.4827978312969208,27.123260498046875,19.706239700317383,18.997821807861328,9721.6904296875,38.940147399902344,55.86495590209961
5789,64.73499298095703,,,,,,14.0,0.4857328236103058,0.6517294645309448,0.4897859990596771,64.73499298095703,0.4871961176395416,0.6540303826332092,0.4818172752857208,27.13587188720703,19.57823371887207,18.778474807739258,9384.626953125,38.58462905883789,49.96467971801758
6175,64.51629638671875,,,,,,15.0,0.4876783490180969,0.6531810760498047,0.49092087149620056,64.51629638671875,0.4871150851249695,0.6539513468742371,0.48416125774383545,27.13739585876465,19.521011352539062,18.675983428955078,9133.4873046875,38.41879653930664,50.362831115722656
6561,64.81425476074219,,,,,,16.0,0.4870298206806183,0.6529260277748108,0.4857328236103058,64.81425476074219,0.48808753490448,0.65468430519104,0.4806016981601715,27.150108337402344,19.439048767089844,18.725223541259766,8817.4208984375,38.37839126586914,51.0698356628418
6947,64.31053161621094,,,,,,17.0,0.48638132214546204,0.6523390412330627,0.4868676960468292,64.31053161621094,0.48808753490448,0.6545320153236389,0.48245543241500854,27.14739227294922,19.36988067626953,18.683195114135742,8563.33984375,38.26103210449219,53.01228713989258
7333,64.39276885986328,,,,,,18.0,0.4870298206806183,0.6529260277748108,0.4901913106441498,64.39276885986328,0.48841166496276855,0.6551316380500793,0.4818962812423706,27.148374557495117,19.28227996826172,18.46753692626953,8328.6240234375,37.95206832885742,50.977298736572266
7719,64.08148956298828,,,,,,19.0,0.4876783490180969,0.6531884074211121,0.48938068747520447,64.08148956298828,0.48824959993362427,0.6551008820533752,0.4804295003414154,27.148738861083984,19.279142379760742,18.504344940185547,8126.61181640625,37.980838775634766,52.43578338623047
8105,63.986087799072266,,,,,,20.0,0.4844357967376709,0.6507869958877563,0.4870298206806183,63.986087799072266,0.4881685674190521,0.6547749638557434,0.478831022977829,27.13068962097168,19.155723571777344,18.356107711791992,7910.01123046875,37.703941345214844,48.713863372802734
8491,64.03243255615234,,,,,,21.0,0.48508429527282715,0.6514478325843811,0.4851653575897217,64.03243255615234,0.48808753490448,0.6548947691917419,0.48100486397743225,27.138111114501953,19.153169631958008,18.42133903503418,7721.85302734375,37.76204299926758,52.6544303894043
8877,63.77490234375,,,,,,22.0,0.4883268475532532,0.6541162133216858,0.4855706989765167,63.77490234375,0.48808753490448,0.65459144115448,0.4804841876029968,27.1782169342041,19.112815856933594,18.370481491088867,7576.642578125,37.667293548583984,51.830223083496094
9263,63.98065948486328,,,,,,23.0,0.48638132214546204,0.6523053050041199,0.4841115474700928,63.98065948486328,0.4876823425292969,0.654434323310852,0.48179900646209717,27.11618995666504,19.067588806152344,18.258695602416992,7336.1962890625,37.50445556640625,51.29616165161133
9649,63.6550178527832,19.71001434326172,15.121994018554688,11.77800178527832,4481.388671875,74.50923919677734,24.0,0.4844357967376709,0.6505391597747803,0.4852464199066162,63.6550178527832,0.4894651472568512,0.6562382578849792,0.4814140796661377,27.125566482543945,19.008100509643555,18.21816635131836,7269.37744140625,37.402809143066406,50.04032516479492
10035,63.51934814453125,,,,,,25.0,0.48378729820251465,0.6502192616462708,0.4851653575897217,63.51934814453125,0.4873581826686859,0.6541712880134583,0.48141714930534363,27.122861862182617,18.97911834716797,18.18990135192871,7056.65625,37.34037780761719,51.07976531982422
10421,63.38180923461914,,,,,,26.0,0.4844357967376709,0.6508070826530457,0.4868676960468292,63.38180923461914,0.487763375043869,0.6543591022491455,0.47967177629470825,27.154184341430664,18.9488582611084,18.205659866333008,6934.46240234375,37.32292938232422,51.448951721191406
10807,63.33054733276367,,,,,,27.0,0.48638132214546204,0.6522843837738037,0.4854896366596222,63.33054733276367,0.4881685674190521,0.6549877524375916,0.4777572751045227,27.134811401367188,18.89509391784668,18.03085708618164,6797.74609375,37.09104537963867,48.801692962646484
